Minutes     Offsets		            Round-trip Delay
28155269	0.03832530975341797 	0.019191741943359375
28155270	0.03702378273010254 	0.015694141387939453
28155271	0.039740800857543945	0.018935680389404297
28155272	0.040671586990356445	0.021961688995361328
28155273	0.04027915000915527 	0.019689083099365234
28155274	0.0363764762878418  	0.011138916015625
28155275	0.037064313888549805   	0.01189279556274414
28155276	0.041570425033569336	0.02002573013305664
28155277	0.04205679893493652	    0.020190715789794922
28155278	0.042981624603271484	0.019219398498535156
28155279	0.0419619083404541	    0.018089771270751953
28155280	0.039402008056640625	0.01209259033203125
28155281	0.04779505729675293	    0.019241809844970703
28155282	0.04902052879333496	    0.019930362701416016
28155283	0.049764394760131836	0.020929813385009766
28155284	0.04858255386352539	    0.0171356201171875
28155285	0.050379037857055664	0.020134449005126953
28155286	0.04764533042907715	    0.01383829116821289
28155287	0.046720266342163086	0.011322498321533203
28155288	0.0512087345123291	    0.019482135772705078
28155289	0.051604509353637695	0.019704341888427734
28155290	0.05221056938171387	    0.019999980926513672
28155291	0.05273175239562988	    0.02059316635131836
28155292	0.04927468299865723	    0.013530254364013672
28155293	0.05327582359313965	    0.02033090591430664
28155294	0.053565025329589844	0.01909351348876953
28155295	0.053663015365600586	0.019306659698486328
28155296	0.05443572998046875	    0.02077770233154297
28155297	0.05481290817260742	    0.020807266235351562
28155298	0.05389904975891113	    0.018496990203857422
28155299	0.05498385429382324	    0.021168231964111328
28155300	0.055532217025756836	0.02067422866821289
28155301	0.05632185935974121	    0.019379138946533203
28155302	0.05459022521972656	0.01590442657470703
28155303	0.05564427375793457	0.019230365753173828
28155304	0.05541729927062988	0.017868518829345703
28155305	0.05594468116760254	0.021626949310302734
28155306	0.05582594871520996	0.018036365509033203
28155307	0.05607748031616211	0.018693923950195312
28155308	0.06192970275878906	0.02008819580078125
28155309	0.07355189323425293	0.02479410171508789
28155310	0.07163619995117188	0.019583702087402344
28155311	0.0718543529510498	0.01904916763305664
28155312	0.07258129119873047	0.019613265991210938
28155313	0.07313227653503418	0.01957559585571289
28155314	0.0740354061126709	0.020789623260498047
28155315	0.07127499580383301	0.015556812286376953
28155316	0.07487177848815918	0.019861698150634766
28155317	0.07518243789672852	0.019118309020996094
28155318	0.07665538787841797	0.021190643310546875
28155319	0.07680034637451172	0.02036762237548828
28155320	0.07505941390991211	0.022802352905273438
28155321	0.07850766181945801	0.020700931549072266
28155322	0.07801461219787598	0.019572734832763672
28155323	0.07755565643310547	0.019985198974609375
28155324	0.07924818992614746	0.020061969757080078
28155325	0.0784006118774414	0.018939971923828125
28155326	0.0795600414276123	0.018786907196044922
28155327	0.08042240142822266	0.019194602966308594
28155328	0.08142685890197754	0.020497798919677734
28155329	0.07795119285583496	0.01223134994506836
28155330	0.08305668830871582	0.019553661346435547
28155331	0.08257699012756348	0.01924753189086914
28155332	0.0832371711730957	0.019567489624023438
28155333	0.08417582511901855	0.020580768585205078
28155334	0.08388781547546387	0.019218921661376953
28155335	0.08605575561523438	0.021803855895996094
28155336	0.08617687225341797	0.020218849182128906
28155337	0.08573770523071289	0.017035484313964844
28155338	0.08708405494689941	0.02014303207397461
28155339	0.08798360824584961	0.01900768280029297
28155340	0.08778572082519531	0.021431922912597656
28155341	0.084991455078125	0.014048576354980469
28155342	0.08875155448913574	0.017318248748779297
28155343	0.08720207214355469	0.014516830444335938
28155344	0.09056377410888672	0.02066802978515625
28155345	0.09108710289001465	0.019442081451416016
28155346	0.09165692329406738	0.020665645599365234
28155347	0.0920257568359375	0.018682479858398438
28155348	0.09189963340759277	0.018936634063720703
28155349	0.092041015625	0.017335891723632812
28155350	0.09319710731506348	0.019124507904052734
28155351	0.09429407119750977	0.020391464233398438
28155352	0.09426069259643555	0.019048690795898438
28155353	0.09352421760559082	0.01712179183959961
28155354	0.09211468696594238	0.01271200180053711
28155355	0.09638333320617676	0.018063068389892578
28155356	0.09624862670898438	0.018898963928222656
28155357	0.09752535820007324	0.019083499908447266
28155358	0.09737539291381836	0.019277572631835938
28155359	0.0983879566192627	0.020514965057373047
28155360	0.09874367713928223	0.019034862518310547
28155361	0.08106112480163574	0.017704486846923828
28155362	0.08198046684265137	0.020368099212646484
28155363	0.0824744701385498	0.020924091339111328
28155364	0.08285808563232422	0.020814895629882812
28155365	0.08268213272094727	0.020288467407226562
28155366	0.08093857765197754	0.020683765411376953
28155367	0.08363223075866699	0.019017696380615234
